Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788958841,10,,Aggregated,5.200000,0.000000,56,58,59,60,64,67,110,120,130,130,130,173,0,56,56.354045664108995,9.655699992435984,130.46190000022762,0.0
1788958842,10,,Aggregated,5.200000,0.000000,56,58,59,60,64,67,110,120,130,130,130,173,0,56,56.354045664108995,9.655699992435984,130.46190000022762,0.0
1788958843,10,,Aggregated,5.000000,0.000000,56,58,59,60,64,70,110,120,130,130,130,180,0,56,56.496912777139286,9.655699992435984,130.46190000022762,0.0
1788958844,10,,Aggregated,5.300000,0.000000,56,58,59,60,64,69,110,120,130,130,130,183,0,56,56.524853551279385,9.655699992435984,130.46190000022762,0.0
1788958845,10,,Aggregated,4.600000,0.000000,56,58,59,60,64,69,110,120,130,130,130,187,0,56,56.60548288710378,9.655699992435984,130.46190000022762,0.0
1788958846,10,,Aggregated,4.800000,0.000000,56,58,59,60,64,69,110,120,130,130,130,194,0,56,56.71400670044679,9.655699992435984,130.46190000022762,0.0
1788958847,10,,Aggregated,4.900000,0.000000,56,58,59,60,65,69,110,120,130,130,130,198,0,56,56.756210605428095,9.655699992435984,130.46190000022762,0.0
1788958848,10,,Aggregated,4.500000,0.000000,57,58,60,60,64,67,78,110,130,130,130,202,0,56,56.85232475193651,9.655699992435984,130.46190000022762,0.0
1788958849,10,,Aggregated,4.900000,0.000000,57,58,60,60,65,67,78,110,130,130,130,206,0,57,56.899809222812515,9.655699992435984,130.46190000022762,0.0
1788958850,10,,Aggregated,4.700000,0.000000,57,58,60,61,64,67,78,110,130,130,130,213,0,57,56.899686384480994,9.655699992435984,130.46190000022762,0.0
1788958851,10,,Aggregated,4.400000,0.000000,57,58,60,61,65,67,78,110,130,130,130,216,0,57,57.01407314760824,9.655699992435984,130.46190000022762,0.0
1788958852,10,,Aggregated,4.300000,0.000000,57,59,60,61,65,67,78,110,130,130,130,222,0,57,57.1168225220177,9.655699992435984,130.46190000022762,0.0
